Suite;Situated
Duine;Persón
Amach;Out
Nuair;When
Baile;Home
Féidir;Possibility
Maith;Good
Amháin;Only
Teanga;Language
Gaeilge;Irish
Chomh;As
Isteach;In
Úsáid;Use
Focal;Word
Ceann;Head
Anuas;Down
Faoin;Under
Leith;Side
Obair;Work
Anois;Now
Bliain;Year
Lucht;People
Freisin;Also
Leabhar;Book
Ábhar;Subject
Ansin;There
Roinnt;Some
Bailiú;Collect
Aghaidh;Face
Scoil;School
Baint;Take
Taobh;Side
Láthair;Present
Scéal;Story
Sásta;Satisfied
Áfach;However
Measc;Mixture
Céanna;Same
Roimh;Before
Inniu;Today
Againn;At us
Uisce;Water
Cogadh;War
Áirithe;Certain
Scríobh;Write
Minic;Often
Rialtas;Government
Ceantar;Area
Déanamh;Doing
Cosúil;Similar
Eolas;Knowledge
Éigin;Some
Oiread;As much
Cineál;Kind
Anseo;Here
Roimhe;Before
Déanta;Done
Ceart;Correct
Domhain;Deep
Mórán;Many
Thart;Around
Áireamh;Count
Muintir;People, family
Díreach;Straight
Feadh;Length
Poiblí;Public
Ionad;Place
Riamh;Ever
Leagan;Version
Gurbh;That
Scríofa;Written
Contae;County
Cinnte;Certain
Áitiúil;Local
Tuairim;Opinion
Seachas;Except
Deacair;Difficult
Stair;History
Dóigh;Way
Láidir;Strong
Caite;Spent
Fosta;Also
Amuigh;Outside
Gluais;Move
Athrú;Change
Córas;System
Dócha;Likely
Béarla;English
Saothar;Work
Cúpla;Couple
Iomlán;Complete
Déanaí;Recent
Dúinn;Us
Teach;House
Cheana;Already
Chuig;To
Éirigh;Rise
Éagsúil;Various
Réimse;Range
Fóill;Delay
Solas;Light
Thuaidh;North
Grúpa;Group
Feidhm;Function
Oíche;Night
Tosaigh;Begin
Ceithre;Four
Suíomh;Location
Chóir;Right
Scannán;Film
Cuairt;Visit
Airde;Height
Taighde;Research
Imirt;Play
Ríocht;Kingdom
Seans;Chance
Iontach;Wonderful
Duais;Prize
Téarma;Term
Ionann;Equal
Toradh;Result
Oileán;Island
Domhan;World
Raidió;Radio
Páirtí;Party
Naomh;Saint
Féach;Look
Thiar;West
Istigh;Inside
Nuacht;News
Cathair;City
Laghad;Least
Rogha;Choice
Cónai;Residence
Éileamh;Demand
Amhán;Song
Béarla;English language
Teideal;Title
Fágtha;Left
Airgead;Money
Triúr;Trio
Luath;Fast, quick
Talamh;Land
Roinn;Department
Rannóg;Section
Breis;Excess
Cumann;Association
Amhras;Doubt
Glacadh;Acceptance
Páirt;Part
Neart;Strength
Taithí;Experience
Caint;Speech
Faoina;Under
Freagra;Answer
Seasamh;Stance, stand
Bealach;Way, path
Sraith;Series
Imeacht;Event
Seilbh;Possession
Cluiche;Game
Eorpach;European
Theas;South
Albam;Album
Sonraí;Data
Aithne;Knowledge
Ceist;Question
Smacht;Control
Úrscéal;Novel
Eaglais;Church
Aistriú;Translation
Uimhir;Number
Márta;March
Scéim;Scheme, plan
Pobal;Community
Liosta;List
Thíos;Below
Doras;Door
Iomaí;Numerous
Daonra;Population
Tagairt;Reference
Dráma;Drama
Trasna;Across
Saghas;Kind, type
Litir;Letter
Moladh;Praise
Saothrú;Production
Troid;Fight
Conradh;Agreement
Iarthar;West
Céard;What
Léirigh;Show
Scoth;Excellence
Muinín;Confidence
Eanáir;January
Saoire;Vacation
Sular;Before
Sampla;Example
Leathan;Wide
Gairid;Short
Tughta;Given
Albain;Scotland
Lárnach;Central
Aonad;Unit
Cuimhne;Memory
Laghdú;Reduction
Cultúr;Culture
Trácht;Traffic
Athair;Father
Leath;Half
Seomra;Room
Tamall;While, period
Plean;Plan
Ainmhí;Animal
Cothrom;Fair, equal
Cuntas;Account, report
Spórt;Sport
Comhair;Assistance, support
Luach;Value
Meáchan;Weight
Inneall;Machine
Daonna;Human
Iompar;Behaviour
Conas;How
Dúchais;Heritage
Céile;Spouse
Fásta;Mature
Meáin;Media
Ciall;Sense
Gnáth;Usual
Páiste;Child
Toghadh;Election
Cuidiú;Help
Cairde;Friends
Príomha;Main
Thall;There
Oifig;Office
Gearr;Cut
Dochar;Harm
Turas;Trip
Amharc;Look
Píosa;Piece
Brath;Judgement
Éadan;Face
Thuas;Above
Fáilte;Welcome
Milliún;Million
Bóthar;Road
Maidin;Morning
Taifead;Record
Labhair;Speak
Imeall;Edge
Feabhas;Improvement
Pictiúr;Picture
Radharc;View
Teoiric;Theory
Vótáil;Vote
Uirlis;Instrument
Sáile;Salty
Scata;Cluster
Locht;Fault
Pointe;Point
Aicme;Class
Casadh;Turn
Réidh;Ready
Iasacht;Loan
Abhaile;Home
Iompair;Transport
Éadrom;Light
Éasca;Easy
Aibítir;Alphabet
Abhainn;River
Droim;Back
Rialta;Regular
Aiste;Twenty
Leanbh;Child
Tógáil;Construction
Gradam;Award
Staid;State
Lúnasa;August
Moill;Delay
Sagart;Priest
Sláinte;Health
Nollaig;Chritsmas
Thoir;East
Ligean;Let
Ábalta;Able
Spreag;Inspire
Aisce;Deposit
Éigean;Necessity
Seinm;Sound
Spéir;Sky
Beatha;Life
Ríoga;Royal
Gaelach;Gaelic
Maithe;Good
Aidhm;Aim
Roghnú;Selection
Aníos;Up
Gnách;Usual
Bhuel;Well
Pósta;Married
Máistir;Master
Bogadh;Move/movement
Féile;Festival
Bualadh;Fight
Foclóir;Dictionary
Titim;Fall
Scrúdú;Exam
Anailís;Analysis
Ciúin;Quiet
Eagar;Editor
Darbh;Ask
Abair;Say
Eagrú;Organisation
Saoirse;Freedom
Spéis;Interest
Casta;Complicated
Téacs;Text
Teocht;Temperature
Dearmad;Forgetfulness
Clann;Family
Méadar;Meter
Tráth;Time
Áilainn;Beautiful
Foinse;Source
Bocht;Poor
Léiriú;Demonstration
Luaigh;Mention
Fógra;Advertisement
Díriú;Direct
Dalta;Student
Socrú;Arrangement
Triail;Trial
Scrios;Destruction
Furasta;Easy
Coinne;Meeting
Nóiméad;Minute
Eagrán;Edition
Naofa;Sacred
Araon;Also
Comhar;Collaboration
Dóchas;Hope
Cumas;Ability
Sasana;England
Imigh;Go, leave
Capall;Horse
Magadh;Mockery
Dáirire;Serious
Easpa;Lack
Halla;Hall
Feadán;Tube
Siopa;Shop
Gaire;Laughter
Achar;Distance
Cúrsa;Course
Coiste;Comittee
Cleite;Feather
Sliabh;Mountain
Eoraip;Europe
Laoch;Hero
Ioncam;Income
Íseal;Low
Eisean;He
Cruth;Shape
Nádúr;Nature
Measúnú;Evaluation
Sliocht;Excerpt, extract
Ócáid;Event, occasion
Bosca;Box
Imreoir;Player
Aimsiú;Discovery
Annamh;Rare
Beagán;A little, few
Treoir;Guidance
Uasal;Noble
Strus;Stress
Craobh;Branch
Aimsir;Weather
Gabháil;(a) Catch
Slabhra;Chain
Insint;Tell
Costas;Cost
Rúise;Russian
Galair;Disease
Planda;Plant
Aisling;Dream
Tomhais;Estimate, guess
Caoga;Fifty
Alcól;Alcohol
Aibreán;April
Cothú;Nurture
Tuath;Countryside
Amhail;Like
Clúdach;Cover
Mullach;Top
Damhsa;Dance
Sruth;Stream
Dearg;Red
Tobann;Sudden
Feabhra;February
Ollmhór;Huge
Masla;Insult
Ealaín;Art
Léigh;Read
Eagla;Fear
Cruinn;Round, accurate
Ardán;Stage, platform
Ciste;Fund
Ríomh;Count
Bainne;Milk
Iontas;Wonder, astonishment
Beart;Action
Iodáil;Italy
Doire;Derry
Canadh;Sing
Agóid;Protest
Íomhá;Image
Impire;Empire
Murab;Unless
Léannta;Learned
Caipín;Cap
Acadamh;Academy
Móide;All the more
Marbh;Dead
Beacht;Significance
Gasta;Quick
Caomhnú;Conversation
Liúntas;Allowance
Fiosrú;Investigation
Cainéal;Channel
Aigéan;Ocean
Aontú;Unity
Gearán;Complaint
Feall;Treachery
Seoladh;Address
Leacht;Liquid
Léacht;Lecture
Foirm;Form
Crann;Tree
Banna;Band
Stailc;Strike
Teastas;Certificate
Seacht;Seven
Cúram;Care
Fadhb;Problem
Crith;Shake
Maoin;Wealth, asset
Náisiún;Nation
Traein;Train
Éacht;Achievement
Ullmhú;Prepare
Iondúil;Likely
Ficsean;Fiction
Sochaí;Society
Easpag;Bishop
Spraoi;Fun
Taistil;Travel
Bréag;Lie
Séipéal;Church
Mathair;Mother
Arasan;Appartment, flat
Deoch;Drink
Gathar;Goat
Hamstar;Hamster
Toirtis;Turtle
Bananai;Banana
Oráiste;Orange
Líomóid;Lemon
Pónairí;Green beans
Anraith;Soup
Vardrús;Wardrobe
Chistin;Kitchen
Íoslach;Cave
Páipéar;Paper
Siosúr;Scissor
Carbhán;Caravan
Bungaló;Bungalow
